,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,school,Where can I get food on my way to the school?,all,3.45,Thai,$$,0.0,Salad King Restaurant
1,school,Where can I get food on my way to the school?,all,3.21,Vietnamese,$,1.0,Ginger
2,school,Where can I get food on my way to the school?,all,3.05,"Japanese, Thai, Asian Fusion",$$,2.0,Spring Sushi
3,school,Where can I get food on my way to the school?,all,3.38,Vietnamese,$,3.0,Ginger
4,school,Where can I get food on my way to the school?,all,3.73,Vegetarian,$$,4.0,Fresh On Bloor
5,school,Where can I get food on my way to the school?,all,3.88,"Breakfast & Brunch, Fast Food, Thai",$$,5.0,Corner By Spoon and Fork
6,school,Where can I get food on my way to the school?,all,3.64,Thai,$$,6.0,Golden Thai Restaurant
7,school,Where can I get food on my way to the school?,all,3.91,Thai,$$,7.0,Sukhothai
8,school,Where can I get food on my way to the school?,all,3.34,"Coffee & Tea, Pubs",$,8.0,Java House
9,school,Where can I get food on my way to the school?,all,3.5,"Fish & Chips, Soup, Sandwiches",$$,9.0,The One That Got Away
10,school,Where can I get food on my way to the school?,all,2.47,"Thai, Asian Fusion, Sushi Bars",$$,10.0,Spring Rolls
11,school,Where can I get food on my way to the school?,all,3.99,Thai,$$,11.0,Nimman Thai Cuisine
12,school,Where can I get food on my way to the school?,all,4.3,Breakfast & Brunch,$$,12.0,Sunny Morning
13,school,Where can I get food on my way to the school?,all,3.97,"Vegan, Vegetarian, Juice Bars & Smoothies",$$,13.0,Thrive Organic Kitchen & Café
14,school,Where can I get food on my way to the school?,all,3.04,"Modern European, Creperies, Seafood",$$,14.0,Marché Restaurant
15,school,Where can I get food on my way to the school?,all,3.53,"Sushi Bars, Japanese",$$,15.0,New Generation Sushi
16,school,Where can I get food on my way to the school?,all,3.36,"Italian, Pizza",$$,16.0,Mamma Martino's Pasta and Pizzeria Restaurant
17,school,Where can I get food on my way to the school?,all,3.94,Thai,$$,17.0,Khao San Road
18,school,Where can I get food on my way to the school?,all,3.34,"Breakfast & Brunch, Juice Bars & Smoothies, Organic Stores",$$,18.0,The Beet
19,school,Where can I get food on my way to the school?,all,3.45,"Vegan, Sandwiches",$$,19.0,Urban Herbivore
20,university,Where can I get food on my way to the university?,all,3.21,Vietnamese,$,0.0,Ginger
21,university,Where can I get food on my way to the university?,all,3.38,Vietnamese,$,1.0,Ginger
22,university,Where can I get food on my way to the university?,all,3.32,Chinese,$,2.0,Not Just Noodles
23,university,Where can I get food on my way to the university?,all,3.37,Vietnamese,$,3.0,Ginger Restaurant
24,university,Where can I get food on my way to the university?,all,3.45,Thai,$$,4.0,Salad King Restaurant
25,university,Where can I get food on my way to the university?,all,3.34,"Coffee & Tea, Pubs",$,5.0,Java House
26,university,Where can I get food on my way to the university?,all,3.93,Thai,$,6.0,Thai Country Kitchen
27,university,Where can I get food on my way to the university?,all,3.35,"Vietnamese, Thai, Chinese",$$,7.0,Asian Bowl
28,university,Where can I get food on my way to the university?,all,2.99,Chinese,$$,8.0,Hong Shing Chinese Restaurant
29,university,Where can I get food on my way to the university?,all,3.8,"Vietnamese, Thai, Gluten-Free",$$,9.0,Basil Box
30,university,Where can I get food on my way to the university?,all,3.31,"Thai, Vegan",$$,10.0,Coco Rice Thai Cuisine
31,university,Where can I get food on my way to the university?,all,3.73,"Vegan, Vegetarian, Chinese",$$,11.0,Greens Vegetarian Restaurant
32,university,Where can I get food on my way to the university?,all,2.99,Chinese,$$,12.0,Phoenix Restaurant
33,university,Where can I get food on my way to the university?,all,4.22,"Vegetarian, Chinese",$,13.0,Buddha's Vegetarian Foods
34,university,Where can I get food on my way to the university?,all,2.97,"Vietnamese, Thai, Chinese",$,14.0,Pho 88 North York
35,university,Where can I get food on my way to the university?,all,3.12,Chinese,$$,15.0,Lin Garden Restaurant
36,university,Where can I get food on my way to the university?,all,2.87,"Indian, Pakistani",$$,16.0,King Palace
37,university,Where can I get food on my way to the university?,all,2.47,"Thai, Asian Fusion, Sushi Bars",$$,17.0,Spring Rolls
38,university,Where can I get food on my way to the university?,all,3.93,Vietnamese,$,18.0,Pho Viet Xpress
39,university,Where can I get food on my way to the university?,all,3.5,"Fish & Chips, Soup, Sandwiches",$$,19.0,The One That Got Away
40,law office,Where can I get food on my way to the law office?,all,3.97,"Diners, Greek",$$,0.0,Zet's Restaurant
41,law office,Where can I get food on my way to the law office?,all,3.18,Middle Eastern,$$,1.0,Paramount Middle Eastern Kitchen
42,law office,Where can I get food on my way to the law office?,all,4.05,"Italian, Pizza",$$,2.0,Fusaro's Kitchen
43,law office,Where can I get food on my way to the law office?,all,3.5,"Fish & Chips, Soup, Sandwiches",$$,3.0,The One That Got Away
44,law office,Where can I get food on my way to the law office?,all,3.38,Seafood,$$,4.0,Market Street Catch
45,law office,Where can I get food on my way to the law office?,all,3.21,"Portuguese, Barbeque, Seafood",$$,5.0,Bairrada Churrasqueira Grill
46,law office,Where can I get food on my way to the law office?,all,2.94,"Greek, Mediterranean",$$,6.0,Astoria Shish Kebob House
47,law office,Where can I get food on my way to the law office?,all,3.43,"Bars, Mediterranean, Modern European",$$,7.0,Royal Meats Bar/Beque
48,law office,Where can I get food on my way to the law office?,all,3.46,Middle Eastern,$$,8.0,Me Va Me
49,law office,Where can I get food on my way to the law office?,all,3.48,"Greek, Sandwiches",$$,9.0,Messini Authentic Gyros
50,law office,Where can I get food on my way to the law office?,all,3.36,"Italian, Pizza",$$,10.0,Mamma Martino's Pasta and Pizzeria Restaurant
51,law office,Where can I get food on my way to the law office?,all,3.46,Seafood,$$,11.0,Buster's Sea Cove
52,law office,Where can I get food on my way to the law office?,all,4.15,"Italian, Pizza, Salad",$$,12.0,Levetto
53,law office,Where can I get food on my way to the law office?,all,3.17,"Canadian (New), Sports Bars, Burgers",$$,13.0,Jack Astor's Bar & Grill
54,law office,Where can I get food on my way to the law office?,all,4.3,"Bakeries, Coffee & Tea, Italian",$,14.0,Sanremo Bakery
55,law office,Where can I get food on my way to the law office?,all,4.22,Burgers,$,15.0,Mama's Boys Burgers
56,law office,Where can I get food on my way to the law office?,all,3.68,Greek,$,16.0,Alexandros
57,law office,Where can I get food on my way to the law office?,all,3.84,"Desserts, Diners, Breakfast & Brunch",$$,17.0,The Gabardine
58,law office,Where can I get food on my way to the law office?,all,4.36,"Barbeque, American (Traditional)",$$,18.0,Memphis BBQ
