,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,court,Where can I get food on my way to the court?,all,3.45,Thai,$$,0.0,Salad King Restaurant
1,court,Where can I get food on my way to the court?,all,3.75,"Sushi Bars, Japanese",$,1.0,Sushi Bong
2,court,Where can I get food on my way to the court?,all,3.21,Vietnamese,$,2.0,Ginger
3,court,Where can I get food on my way to the court?,all,3.97,"Diners, Greek",$$,3.0,Zet's Restaurant
4,court,Where can I get food on my way to the court?,all,3.91,Thai,$$,4.0,Sukhothai
5,court,Where can I get food on my way to the court?,all,3.82,Afghan,$$,5.0,Bamiyan Kabob
6,court,Where can I get food on my way to the court?,all,3.53,"Sushi Bars, Japanese",$$,6.0,New Generation Sushi
7,court,Where can I get food on my way to the court?,all,3.99,Thai,$$,7.0,Nimman Thai Cuisine
8,court,Where can I get food on my way to the court?,all,2.47,"Thai, Asian Fusion, Sushi Bars",$$,8.0,Spring Rolls
9,court,Where can I get food on my way to the court?,all,3.38,Vietnamese,$,9.0,Ginger
10,court,Where can I get food on my way to the court?,all,3.4,"Japanese, Chinese",$$,10.0,Donburi
11,court,Where can I get food on my way to the court?,all,3.9,Mexican,$,11.0,Burrito Boyz
12,court,Where can I get food on my way to the court?,all,3.93,Thai,$,12.0,Thai Country Kitchen
13,court,Where can I get food on my way to the court?,all,3.57,"Mexican, Fast Food",$$,13.0,Chipotle Mexican Grill
14,court,Where can I get food on my way to the court?,all,3.18,Middle Eastern,$$,14.0,Paramount Middle Eastern Kitchen
15,court,Where can I get food on my way to the court?,all,3.39,Japanese,$$,15.0,Mi-Ne Sushi
16,court,Where can I get food on my way to the court?,all,3.98,"Japanese, Noodles",$,16.0,Manpuku Japanese Eatery
17,court,Where can I get food on my way to the court?,all,3.31,"Thai, Vegan",$$,17.0,Coco Rice Thai Cuisine
18,court,Where can I get food on my way to the court?,all,3.88,"Breakfast & Brunch, Fast Food, Thai",$$,18.0,Corner By Spoon and Fork
19,court,Where can I get food on my way to the court?,all,3.32,Chinese,$,19.0,Not Just Noodles
20,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.5,"Italian, Bars, Venues & Event Spaces",$$,0.0,Hot House Restaurant & Bar
