,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,school,Where can I get food on my way to the [MASK]?,all,4.09,"Restaurants, Gastropubs, Beer Bar, Bars, Tapas Bars, Nightlife, Noodles, Tapas/Small Plates, Malaysian, Japanese, Asian Fusion, Ramen, Pan Asian",2.0,0.0,Hawkers Asian Street Food
1,school,Where can I get food on my way to the [MASK]?,all,4.1,"Local Flavor, Nightlife, Food, Vegan, Vegetarian, Venues & Event Spaces, Coffee & Tea, Event Planning & Services, Restaurants, Bars, Wine Bars",2.0,1.0,Infusion Tea
2,school,Where can I get food on my way to the [MASK]?,all,4.45,"Restaurants, Sandwiches, Vegetarian, Food, Asian Fusion, Coffee & Tea",2.0,2.0,Pom Pom's Teahouse & Sandwicheria
3,school,Where can I get food on my way to the [MASK]?,all,3.64,"Asian Fusion, Sushi Bars, Restaurants, Chinese",2.0,3.0,Bento Asian Kitchen + Sushi
4,school,Where can I get food on my way to the [MASK]?,all,4.2,"Mexican, Empanadas, Chinese, Asian Fusion, Latin American, Food, Restaurants",1.0,4.0,Tako Cheena
5,school,Where can I get food on my way to the [MASK]?,all,4.02,"Restaurants, Bars, American (Traditional), Smokehouse, Nightlife, Food, Barbeque, American (New), Southern",2.0,5.0,The Polite Pig
6,school,Where can I get food on my way to the [MASK]?,all,3.76,"Restaurants, Asian Fusion, Chinese, Sushi Bars",2.0,6.0,Bento Asian Kitchen + Sushi
7,school,Where can I get food on my way to the [MASK]?,all,4.3,"Nightlife, Bars, Restaurants, Pizza",1.0,7.0,Lazy Moon Pizza
8,school,Where can I get food on my way to the [MASK]?,all,4.03,"Waffles, Food, American (New), Coffee & Tea, Restaurants, Nightlife, Bars, Breakfast & Brunch, American (Traditional), Vegetarian",2.0,8.0,Artisan's Table
9,school,Where can I get food on my way to the [MASK]?,all,4.44,"Food, Desserts, Breakfast & Brunch, Coffee & Tea, Restaurants, American (New), Bakeries",2.0,9.0,Se7en Bites
10,school,Where can I get food on my way to the [MASK]?,all,3.73,"Wine Bars, Restaurants, Bars, Pubs, American (New), Nightlife",2.0,10.0,Dexter's - Thornton Park
11,school,Where can I get food on my way to the [MASK]?,all,4.2,"Italian, Restaurants, Pizza, Salad",2.0,11.0,Pizza Bruno
12,school,Where can I get food on my way to the [MASK]?,all,4.25,"Seafood, Fish & Chips, Restaurants, American (New)",2.0,12.0,Slapfish
13,school,Where can I get food on my way to the [MASK]?,all,3.8,"Pizza, Salad, American (New), American (Traditional), Desserts, Soup, Food, Restaurants",2.0,13.0,California Pizza Kitchen at Waterford Lakes
14,school,Where can I get food on my way to the [MASK]?,all,4.3,"Mexican, Cafes, Latin American, Breakfast & Brunch, Coffee & Tea, Sandwiches, Caribbean, Puerto Rican, Gluten-Free, Food, Restaurants, Venezuelan",2.0,14.0,Sofrito Latin Cafe
15,school,Where can I get food on my way to the [MASK]?,all,4.53,"Fast Food, Asian Fusion, Restaurants",1.0,15.0,King Bao
16,school,Where can I get food on my way to the [MASK]?,all,4.09,"Sandwiches, Burgers, Food, Cheese Shops, Specialty Food, Restaurants, Vegan, Barbeque",1.0,16.0,Toasted
17,school,Where can I get food on my way to the [MASK]?,all,4.59,"Food, Bars, Restaurants, Nightlife, Vegan, Bakeries, Vegetarian",2.0,17.0,Market On South
18,school,Where can I get food on my way to the [MASK]?,all,3.93,"Restaurants, Food, Burgers, Ice Cream & Frozen Yogurt, American (Traditional)",2.0,18.0,Shake Shack
19,school,Where can I get food on my way to the [MASK]?,all,4.15,"Beer Bar, Nightlife, Burgers, Bars, Sports Bars, American (New), Pubs, Restaurants",2.0,19.0,Rock & Brews - Orlando
20,university,Where can I get food on my way to the [MASK]?,all,4.09,"Restaurants, Gastropubs, Beer Bar, Bars, Tapas Bars, Nightlife, Noodles, Tapas/Small Plates, Malaysian, Japanese, Asian Fusion, Ramen, Pan Asian",2.0,0.0,Hawkers Asian Street Food
21,university,Where can I get food on my way to the [MASK]?,all,4.1,"Local Flavor, Nightlife, Food, Vegan, Vegetarian, Venues & Event Spaces, Coffee & Tea, Event Planning & Services, Restaurants, Bars, Wine Bars",2.0,1.0,Infusion Tea
22,university,Where can I get food on my way to the [MASK]?,all,4.45,"Restaurants, Sandwiches, Vegetarian, Food, Asian Fusion, Coffee & Tea",2.0,2.0,Pom Pom's Teahouse & Sandwicheria
23,university,Where can I get food on my way to the [MASK]?,all,3.64,"Asian Fusion, Sushi Bars, Restaurants, Chinese",2.0,3.0,Bento Asian Kitchen + Sushi
24,university,Where can I get food on my way to the [MASK]?,all,4.2,"Mexican, Empanadas, Chinese, Asian Fusion, Latin American, Food, Restaurants",1.0,4.0,Tako Cheena
