,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,court,Where can I get food on my way to the court?,all,3.39,"Food, Asian Fusion, Restaurants, Food Trucks, Food Stands",1.0,0.0,Saté Grill-on-Wheels
1,court,Where can I get food on my way to the court?,all,2.75,"Chinese, Noodles, Restaurants",1.0,1.0,Noodle Stix
2,court,Where can I get food on my way to the court?,all,3.68,"Food Trucks, Food Stands, Sandwiches, Asian Fusion, Street Vendors, Restaurants, Vietnamese, Food",1.0,2.0,Bon Me - Harvard Truck
3,court,Where can I get food on my way to the court?,all,2.92,"Grocery, Beer, Wine & Spirits, Specialty Food, Fruits & Veggies, Delis, Bakeries, Restaurants, Food",3.0,3.0,Broadway Marketplace
4,court,Where can I get food on my way to the court?,all,2.11,"Italian, Mediterranean, Restaurants, Pizza",1.0,4.0,Cafe Dilara
5,court,Where can I get food on my way to the court?,all,3.53,"Sandwiches, Salad, Pizza, Restaurants, Italian",1.0,5.0,Beauty's Pizza
6,court,Where can I get food on my way to the court?,all,2.99,"Japanese, Thai, Restaurants, Chinese",2.0,6.0,Beijing Tokyo
7,court,Where can I get food on my way to the court?,all,2.86,"Fast Food, Mexican, Restaurants",1.0,7.0,Chipotle Mexican Grill
8,court,Where can I get food on my way to the court?,all,3.7,"Food, Restaurants, Food Trucks, Noodles, Asian Fusion, Vietnamese, Salad",1.0,8.0,Bon Me - One Kendall Square
9,court,Where can I get food on my way to the court?,all,3.74,"Pizza, Sandwiches, Food, Event Planning & Services, Ice Cream & Frozen Yogurt, Caterers, Restaurants, Cafes, Delis",1.0,9.0,Cafe Kiraz
10,court,Where can I get food on my way to the court?,all,3.43,"Food, Bagels, Grocery, Coffee & Tea, Ice Cream & Frozen Yogurt, Restaurants, Delis",1.0,10.0,Gourmet Express
11,court,Where can I get food on my way to the court?,all,3.18,"Food, Bakeries, Grocery, Buffets, Convenience Stores, Restaurants, Delis",3.0,11.0,Market In the Square
12,court,Where can I get food on my way to the court?,all,1.78,"Restaurants, Pizza",1.0,12.0,Pizza Ring
13,court,Where can I get food on my way to the court?,all,3.33,"Tex-Mex, Breakfast & Brunch, Soul Food, Mexican, Restaurants",1.0,13.0,Beantown Taqueria
14,court,Where can I get food on my way to the court?,all,3.47,"Restaurants, Grocery, Food, International Grocery, Korean, Pan Asian, Food Court, Seafood Markets, Specialty Food",2.0,14.0,H Mart - Cambridge
15,court,Where can I get food on my way to the court?,all,3.9,"Restaurants, Thai",1.0,15.0,Rod Dee
16,court,Where can I get food on my way to the court?,all,2.04,"Mexican, Restaurants, Fast Food",1.0,16.0,Chipotle Mexican Grill
17,court,Where can I get food on my way to the court?,all,3.3,"Restaurants, Pizza",1.0,17.0,Mona Lisa Pizza &  Grill
18,court,Where can I get food on my way to the court?,all,2.6,"Restaurants, Pizza",1.0,18.0,ABC Pizza House
19,court,Where can I get food on my way to the court?,all,3.64,"Restaurants, Pizza",1.0,19.0,Harvard House Of Pizza
20,psychiatrist,Where can I get food on my way to the psychiatrist?,all,2.64,"Food, Indian, Restaurants",2.0,0.0,Dosa Factory
21,psychiatrist,Where can I get food on my way to the psychiatrist?,all,4.53,"Sandwiches, Restaurants",1.0,1.0,Souper Roll Up Cafe
22,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.09,"Restaurants, Pakistani, Indian",2.0,2.0,Desi Dhaba
23,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.84,"Food, Fast Food, Sandwiches, Nightlife, Cafes, Vegetarian, American (New), Coffee & Tea, Restaurants",1.0,3.0,Clover Food Lab
24,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.82,"Breakfast & Brunch, Restaurants, Salad, Vegetarian, Sandwiches, Cafes, Fast Food, American (New), Food, Coffee & Tea",2.0,4.0,Clover Food Lab
25,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.39,"Food, Asian Fusion, Restaurants, Food Trucks, Food Stands",1.0,5.0,Saté Grill-on-Wheels
26,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.33,"Vietnamese, Restaurants",2.0,6.0,Le's Restaurant
27,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.91,"Restaurants, Salad, Food, Coffee & Tea, American (New), Vegetarian, Breakfast & Brunch, Cafes, Sandwiches",2.0,7.0,Clover Food Lab
28,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.08,"American (Traditional), Nightlife, Bars, Burgers, Restaurants",1.0,8.0,Tasty Burger
29,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.58,"Sandwiches, Food, Grocery, Restaurants, American (Traditional)",1.0,9.0,Oxford Spa Cafe
30,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.07,"Sandwiches, Restaurants",2.0,10.0,Sebastians Cafe & Catering
31,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.73,"Mexican, Restaurants",1.0,11.0,El Jefe's Taqueria
32,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.96,"Pizza, Sandwiches, Restaurants",1.0,12.0,Skampa
33,psychiatrist,Where can I get food on my way to the psychiatrist?,all,2.62,"American (Traditional), Restaurants",1.0,13.0,Au Bon Pain
34,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.95,"Restaurants, Sandwiches, Pizza",1.0,14.0,Ma Magoo's Pizza & Sub Shop
35,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.18,"Food, Bakeries, Grocery, Buffets, Convenience Stores, Restaurants, Delis",3.0,15.0,Market In the Square
36,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.8,"Pakistani, Restaurants, Indian, Caterers, Event Planning & Services",1.0,16.0,Punjabi Dhaba
37,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.19,"Food, Restaurants, Coffee & Tea, Sandwiches",1.0,17.0,Clear Conscience Cafe
38,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.0,"Food Trucks, Sandwiches, Restaurants, Food, Asian Fusion, Vietnamese",1.0,18.0,Bon Me - Fresh Pond
39,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.1,"Restaurants, Vegetarian, Pakistani, Vegan, Buffets, Indian",2.0,19.0,Shalimar of India
40,museum,Where can I get food on my way to the museum?,all,3.65,"Mexican, Restaurants",1.0,0.0,Felipe's Taqueria
41,museum,Where can I get food on my way to the museum?,all,4.07,"Greek, Event Planning & Services, Sandwiches, Restaurants, Mediterranean, Food, Desserts, Caterers",2.0,1.0,Saloniki Greek
42,museum,Where can I get food on my way to the museum?,all,2.98,"Thai, Restaurants, Salad, Asian Fusion, Noodles",2.0,2.0,Spicies Cambridge
43,museum,Where can I get food on my way to the museum?,all,3.43,"Restaurants, Mexican",1.0,3.0,Anna's Taqueria
44,museum,Where can I get food on my way to the museum?,all,2.75,"Restaurants, Chinese",2.0,4.0,Yenching Restaurant
45,museum,Where can I get food on my way to the museum?,all,3.9,"Restaurants, Thai",1.0,5.0,Rod Dee
46,museum,Where can I get food on my way to the museum?,all,3.79,"Chinese, Restaurants, Taiwanese",2.0,6.0,Mu Lan
47,museum,Where can I get food on my way to the museum?,all,3.88,"Mediterranean, Restaurants, Middle Eastern",2.0,7.0,Aceituna Grill
48,museum,Where can I get food on my way to the museum?,all,3.33,"Vietnamese, Restaurants",2.0,8.0,Le's Restaurant
49,museum,Where can I get food on my way to the museum?,all,3.41,"Restaurants, Food, Caterers, Event Planning & Services, Mexican",2.0,9.0,Jose's Mexican Restaurant
50,museum,Where can I get food on my way to the museum?,all,2.91,"Japanese, Restaurants, Asian Fusion",2.0,10.0,wagamama
51,museum,Where can I get food on my way to the museum?,all,3.96,"Greek, Mediterranean, Restaurants",2.0,11.0,Greek Corner Restaurant
52,museum,Where can I get food on my way to the museum?,all,3.8,"Restaurants, Cajun/Creole, Tex-Mex, Mexican",2.0,12.0,Border Café
53,museum,Where can I get food on my way to the museum?,all,3.39,"Food, Asian Fusion, Restaurants, Food Trucks, Food Stands",1.0,13.0,Saté Grill-on-Wheels
54,museum,Where can I get food on my way to the museum?,all,3.18,"Falafel, Restaurants, Middle Eastern, Mediterranean",1.0,14.0,Falafel Corner
55,museum,Where can I get food on my way to the museum?,all,3.56,"Ramen, Restaurants, Japanese",2.0,15.0,Sapporo Ramen
56,museum,Where can I get food on my way to the museum?,all,3.73,"Mexican, Restaurants",1.0,16.0,El Jefe's Taqueria
57,museum,Where can I get food on my way to the museum?,all,4.39,"Food, Seafood, Seafood Markets, Specialty Food, Restaurants, Sandwiches",2.0,17.0,Alive & Kicking Lobsters
58,museum,Where can I get food on my way to the museum?,all,3.09,"Restaurants, Pakistani, Indian",2.0,18.0,Desi Dhaba
59,museum,Where can I get food on my way to the museum?,all,3.8,"Pakistani, Restaurants, Indian, Caterers, Event Planning & Services",1.0,19.0,Punjabi Dhaba
60,bar,Where can I get food on my way to the bar?,all,3.8,"Restaurants, Cajun/Creole, Tex-Mex, Mexican",2.0,0.0,Border Café
61,bar,Where can I get food on my way to the bar?,all,3.65,"Mexican, Restaurants",1.0,1.0,Felipe's Taqueria
62,bar,Where can I get food on my way to the bar?,all,3.73,"Mexican, Restaurants",1.0,2.0,El Jefe's Taqueria
63,bar,Where can I get food on my way to the bar?,all,3.08,"American (Traditional), Nightlife, Bars, Burgers, Restaurants",1.0,3.0,Tasty Burger
64,bar,Where can I get food on my way to the bar?,all,3.3,"Sandwiches, Bars, Restaurants, American (Traditional), American (New), Nightlife",2.0,4.0,Grendel's Den Restaurant & Bar
65,bar,Where can I get food on my way to the bar?,all,3.41,"Beer Gardens, Dive Bars, Bars, American (Traditional), Burgers, Karaoke, Nightlife, Restaurants",2.0,5.0,Charlie's Kitchen
66,bar,Where can I get food on my way to the bar?,all,3.75,"Mexican, Restaurants",1.0,6.0,Felipe's Taqueria
67,bar,Where can I get food on my way to the bar?,all,3.48,"American (Traditional), Bars, Breakfast & Brunch, Restaurants, Nightlife, Burgers",2.0,7.0,Miracle of Science Bar + Grill
68,bar,Where can I get food on my way to the bar?,all,3.84,"Bars, American (Traditional), Nightlife, Restaurants",2.0,8.0,Cambridge Common
69,bar,Where can I get food on my way to the bar?,all,3.41,"Restaurants, Food, Caterers, Event Planning & Services, Mexican",2.0,9.0,Jose's Mexican Restaurant
70,bar,Where can I get food on my way to the bar?,all,3.33,"Tex-Mex, Breakfast & Brunch, Soul Food, Mexican, Restaurants",1.0,10.0,Beantown Taqueria
71,bar,Where can I get food on my way to the bar?,all,3.56,"Restaurants, American (Traditional), Burgers, American (New)",1.0,11.0,Flat Patties
72,bar,Where can I get food on my way to the bar?,all,3.93,"Pizza, American (New), Nightlife, Restaurants, Bars, Pubs",1.0,12.0,Newtowne Grille
73,bar,Where can I get food on my way to the bar?,all,3.89,"Restaurants, Mexican, Salad",1.0,13.0,Ole to Go!
74,bar,Where can I get food on my way to the bar?,all,3.8,"Pakistani, Restaurants, Indian, Caterers, Event Planning & Services",1.0,14.0,Punjabi Dhaba
75,bar,Where can I get food on my way to the bar?,all,3.33,"Vietnamese, Restaurants",2.0,15.0,Le's Restaurant
76,bar,Where can I get food on my way to the bar?,all,3.43,"Restaurants, Mexican",1.0,16.0,Anna's Taqueria
77,bar,Where can I get food on my way to the bar?,all,2.69,"Mongolian, Restaurants, American (New)",2.0,17.0,Fire and Ice
78,bar,Where can I get food on my way to the bar?,all,3.36,"Mediterranean, Restaurants, Vegetarian, Middle Eastern, Fast Food, Falafel",1.0,18.0,Moody's Falafel Palace
79,bar,Where can I get food on my way to the bar?,all,3.01,"Food, Nightlife, Breweries, American (Traditional), Restaurants",2.0,19.0,John Harvard's Brewery & Ale House
80,private school,Where can I get food on my way to the private school?,all,3.39,"Food, Asian Fusion, Restaurants, Food Trucks, Food Stands",1.0,0.0,Saté Grill-on-Wheels
81,private school,Where can I get food on my way to the private school?,all,3.24,"Restaurants, Thai, Chinese",1.0,1.0,Thailand Cafe
82,private school,Where can I get food on my way to the private school?,all,3.23,"Asian Fusion, Food, Restaurants, Ethnic Food, Specialty Food, Thai",2.0,2.0,Nine Tastes
83,private school,Where can I get food on my way to the private school?,all,3.33,"Tex-Mex, Breakfast & Brunch, Soul Food, Mexican, Restaurants",1.0,3.0,Beantown Taqueria
84,private school,Where can I get food on my way to the private school?,all,3.71,"Asian Fusion, Korean, Seafood, Restaurants, Vietnamese",2.0,4.0,Chocho's
85,private school,Where can I get food on my way to the private school?,all,2.98,"Thai, Restaurants, Salad, Asian Fusion, Noodles",2.0,5.0,Spicies Cambridge
86,private school,Where can I get food on my way to the private school?,all,2.99,"Japanese, Thai, Restaurants, Chinese",2.0,6.0,Beijing Tokyo
87,private school,Where can I get food on my way to the private school?,all,3.51,"Thai, Restaurants",1.0,7.0,CurryThai Restaurant
88,private school,Where can I get food on my way to the private school?,all,3.9,"Restaurants, Thai",1.0,8.0,Rod Dee
89,private school,Where can I get food on my way to the private school?,all,3.56,"Restaurants, American (Traditional), Burgers, American (New)",1.0,9.0,Flat Patties
90,private school,Where can I get food on my way to the private school?,all,3.73,"Mexican, Restaurants",1.0,10.0,El Jefe's Taqueria
91,private school,Where can I get food on my way to the private school?,all,3.65,"Mexican, Restaurants",1.0,11.0,Felipe's Taqueria
92,private school,Where can I get food on my way to the private school?,all,2.92,"Grocery, Beer, Wine & Spirits, Specialty Food, Fruits & Veggies, Delis, Bakeries, Restaurants, Food",3.0,12.0,Broadway Marketplace
93,private school,Where can I get food on my way to the private school?,all,3.33,"Vietnamese, Restaurants",2.0,13.0,Le's Restaurant
94,private school,Where can I get food on my way to the private school?,all,3.52,"Thai, Restaurants",2.0,14.0,Pepper Sky's Thai Sensation
95,private school,Where can I get food on my way to the private school?,all,3.68,"Food Trucks, Food Stands, Sandwiches, Asian Fusion, Street Vendors, Restaurants, Vietnamese, Food",1.0,15.0,Bon Me - Harvard Truck
96,private school,Where can I get food on my way to the private school?,all,3.57,"Japanese, Asian Fusion, Nightlife, Korean, Sushi Bars, Thai, Restaurants",2.0,16.0,Spice & Rice
97,private school,Where can I get food on my way to the private school?,all,3.5,"Salad, Vegetarian, Restaurants",1.0,17.0,sweetgreen
98,private school,Where can I get food on my way to the private school?,all,3.18,"Food, Bakeries, Grocery, Buffets, Convenience Stores, Restaurants, Delis",3.0,18.0,Market In the Square
99,private school,Where can I get food on my way to the private school?,all,3.64,"Seafood, Restaurants, Sushi Bars, Japanese",2.0,19.0,Genki Ya - Cambridge
100,church,Where can I get food on my way to the church?,all,3.45,"Breakfast & Brunch, Restaurants, Mexican, Beer, Wine & Spirits, Food, Diners",1.0,0.0,Mass Ave Diner
101,church,Where can I get food on my way to the church?,all,2.26,"Food, Donuts, Pizza, Diners, Breakfast & Brunch, Restaurants, Coffee & Tea",1.0,1.0,Cambridge Coffee Shop
102,church,Where can I get food on my way to the church?,all,4.24,"Cafes, Sandwiches, Restaurants",1.0,2.0,2nd Street Cafe
103,church,Where can I get food on my way to the church?,all,3.52,"Restaurants, Breakfast & Brunch, Diners",1.0,3.0,Leo's Place
104,church,Where can I get food on my way to the church?,all,4.01,"Breakfast & Brunch, Diners, Restaurants, Middle Eastern",1.0,4.0,Brookline Lunch
105,church,Where can I get food on my way to the church?,all,3.92,"Salad, Italian, Sandwiches, Pizza, Vegetarian, Restaurants",1.0,5.0,Kendall Kitchen
106,church,Where can I get food on my way to the church?,all,3.39,"Food, Asian Fusion, Restaurants, Food Trucks, Food Stands",1.0,6.0,Saté Grill-on-Wheels
107,church,Where can I get food on my way to the church?,all,4.14,"Sandwiches, Breakfast & Brunch, Coffee & Tea, Food, Restaurants",1.0,7.0,Sweet Touch Cafe
108,church,Where can I get food on my way to the church?,all,2.11,"Italian, Mediterranean, Restaurants, Pizza",1.0,8.0,Cafe Dilara
109,church,Where can I get food on my way to the church?,all,3.91,"Restaurants, Vegetarian, Vegan, Pizza",1.0,9.0,Veggie Planet
110,church,Where can I get food on my way to the church?,all,3.36,"Breakfast & Brunch, Event Planning & Services, Diners, Sandwiches, Restaurants, American (Traditional), Caterers, Delis",2.0,10.0,S & S Restaurant
111,church,Where can I get food on my way to the church?,all,3.36,"Mediterranean, Greek, Diners, Restaurants, American (Traditional), Breakfast & Brunch, Salad",2.0,11.0,Zoe's
112,church,Where can I get food on my way to the church?,all,3.9,"Restaurants, Thai",1.0,12.0,Rod Dee
