,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,school,restaurants that I would like on my way to the school,all,4.07,"Do-It-Yourself Food, Sushi Bars, Restaurants, Food, Hot Pot, Japanese",2.0,0.0,Swish Shabu
1,school,restaurants that I would like on my way to the school,all,4.0,"Restaurants, Thai",2.0,1.0,Brown Sugar Cafe
2,school,restaurants that I would like on my way to the school,all,3.77,"Restaurants, Thai",2.0,2.0,Thaitation
3,school,restaurants that I would like on my way to the school,all,3.91,"Restaurants, Italian",2.0,3.0,Lilly's Gourmet Pasta Express
4,school,restaurants that I would like on my way to the school,all,4.21,"Asian Fusion, Caterers, Restaurants, Food, Chinese, Local Flavor, Food Stands, Food Trucks, Event Planning & Services",2.0,4.0,Mei Mei Restaurant
5,school,restaurants that I would like on my way to the school,all,3.62,"Thai, Restaurants",2.0,5.0,Equator Thai Restaurant
6,school,restaurants that I would like on my way to the school,all,4.05,"Thai, Seafood, Vietnamese, Restaurants",2.0,6.0,Pho Basil
7,school,restaurants that I would like on my way to the school,all,4.29,"American (New), Nightlife, Restaurants, Breakfast & Brunch, Cocktail Bars, Bars",2.0,7.0,Milkweed
8,school,restaurants that I would like on my way to the school,all,3.52,"Restaurants, Puerto Rican, Caribbean, Food, Beer, Wine & Spirits, Latin American",2.0,8.0,Vejigantes
9,school,restaurants that I would like on my way to the school,all,4.09,"Italian, Restaurants",2.0,9.0,Trattoria Toscana
10,school,restaurants that I would like on my way to the school,all,4.45,"Japanese, Sushi Bars, Restaurants, Thai, Asian Fusion",2.0,10.0,Laughing Monk Cafe
11,school,restaurants that I would like on my way to the school,all,4.3,"Japanese, Sushi Bars, Food, Food Delivery Services, Seafood, Specialty Food, Ramen, Seafood Markets, Restaurants",2.0,11.0,Oppa Sushi
12,school,restaurants that I would like on my way to the school,all,4.23,"Buffets, Restaurants, Indian, Pakistani, Vegetarian",2.0,12.0,Vaisakhi Indian Kitchen
13,school,restaurants that I would like on my way to the school,all,4.45,"Asian Fusion, Restaurants, Sushi Bars, Nightlife, Bars, Japanese, Cocktail Bars",2.0,13.0,Fuji at Ink Block
14,school,restaurants that I would like on my way to the school,all,4.06,"Restaurants, Mexican, Event Planning & Services, Korean, Asian Fusion, Caterers",1.0,14.0,OliToki
15,school,restaurants that I would like on my way to the school,all,4.34,"Noodles, Japanese, Restaurants",2.0,15.0,Futago Udon
16,school,restaurants that I would like on my way to the school,all,3.61,"Korean, Japanese, Restaurants, Sushi Bars",2.0,16.0,Seoul - Boston
17,school,restaurants that I would like on my way to the school,all,4.22,"Restaurants, Caribbean, Latin American, Venezuelan",2.0,17.0,Orinoco
18,school,restaurants that I would like on my way to the school,all,3.83,"Bars, Wine Bars, Food, Restaurants, Vegetarian, Italian, Cafes, Nightlife, Desserts",3.0,18.0,Stella
19,school,restaurants that I would like on my way to the school,all,3.74,"Japanese, Sushi Bars, Restaurants",2.0,19.0,Fin's Sushi and Grill
20,university,restaurants that I would like on my way to the university,all,3.89,"Thai, Restaurants, Food Delivery Services, Food",1.0,0.0,Nud Pob Thai Cuisine
21,university,restaurants that I would like on my way to the university,all,3.2,"Noodles, Restaurants, Thai",2.0,1.0,Noodle Street
22,university,restaurants that I would like on my way to the university,all,4.05,"Thai, Seafood, Vietnamese, Restaurants",2.0,2.0,Pho Basil
23,university,restaurants that I would like on my way to the university,all,4.0,"Restaurants, Thai",2.0,3.0,Brown Sugar Cafe
24,university,restaurants that I would like on my way to the university,all,3.23,"Food, Vegan, Thai, Vietnamese, Restaurants, Desserts",2.0,4.0,Pho & I
25,university,restaurants that I would like on my way to the university,all,3.77,"Restaurants, Thai",2.0,5.0,Thaitation
26,university,restaurants that I would like on my way to the university,all,4.31,"Restaurants, Thai",2.0,6.0,Brown Sugar Cafe
27,university,restaurants that I would like on my way to the university,all,3.98,"Restaurants, Vietnamese",2.0,7.0,Pho Common
